[대상] 숨은 탭 보유 항목: 3365건
[대상] 이번 실행에서 처리할 항목: 1461건
  [50/1461] 진행 중 (성공 50, 신규데이터 37, 오류 0)
  [100/1461] 진행 중 (성공 100, 신규데이터 63, 오류 0)
  [150/1461] 진행 중 (성공 150, 신규데이터 93, 오류 0)
  [200/1461] 진행 중 (성공 200, 신규데이터 136, 오류 0)
  [250/1461] 진행 중 (성공 250, 신규데이터 185, 오류 0)
  [300/1461] 진행 중 (성공 300, 신규데이터 225, 오류 0)
  [350/1461] 진행 중 (성공 350, 신규데이터 267, 오류 0)
  [400/1461] 진행 중 (성공 400, 신규데이터 297, 오류 0)
  [450/1461] 진행 중 (성공 450, 신규데이터 339, 오류 0)
  [500/1461] 진행 중 (성공 500, 신규데이터 382, 오류 0)
  [550/1461] 진행 중 (성공 550, 신규데이터 410, 오류 0)
  [600/1461] 진행 중 (성공 600, 신규데이터 460, 오류 0)
  [650/1461] 진행 중 (성공 650, 신규데이터 510, 오류 0)
  [700/1461] 진행 중 (성공 700, 신규데이터 559, 오류 0)
  [750/1461] 진행 중 (성공 750, 신규데이터 607, 오류 0)
  [800/1461] 진행 중 (성공 800, 신규데이터 631, 오류 0)
  [850/1461] 진행 중 (성공 850, 신규데이터 680, 오류 0)
  [900/1461] 진행 중 (성공 900, 신규데이터 728, 오류 0)
  [950/1461] 진행 중 (성공 950, 신규데이터 764, 오류 0)
  [1000/1461] 진행 중 (성공 1000, 신규데이터 814, 오류 0)
  [1050/1461] 진행 중 (성공 1050, 신규데이터 864, 오류 0)
  [1100/1461] 진행 중 (성공 1100, 신규데이터 914, 오류 0)
  [1150/1461] 진행 중 (성공 1150, 신규데이터 963, 오류 0)
  [1200/1461] 진행 중 (성공 1200, 신규데이터 1002, 오류 0)
  [1250/1461] 진행 중 (성공 1250, 신규데이터 1038, 오류 0)
  [1300/1461] 진행 중 (성공 1300, 신규데이터 1080, 오류 0)
  [1350/1461] 진행 중 (성공 1350, 신규데이터 1126, 오류 0)
  [1400/1461] 진행 중 (성공 1400, 신규데이터 1176, 오류 0)
  [1450/1461] 진행 중 (성공 1450, 신규데이터 1204, 오류 0)
  [1461/1461] 진행 중 (성공 1461, 신규데이터 1210, 오류 0)
[완료] 성공 1461, 신규데이터 발견 1210, 오류 0
